sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,331;733;;1000rounds;Yes;Yes;2;0,71715;0,76411;0,00000;0,00000;1,48126;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1956;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1957;0.895;0.8400000000000001;0.7641105594554521;0.7171540446285808;0.7641105594554521;0.7171540446285808;0.0;0.0;0.7641105594554521;0.7171540446285808;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,468;1001;;1000rounds;No;Yes;1;0,00000;0,00000;0,88356;0,98900;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1958;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1959;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,348;335;;1000rounds;Yes;Yes;2;0,76293;0,82340;0,00000;0,08138;1,58633;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1960;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1961;0.82;0.885;0.7629257340427276;0.8234015544241634;0.7629257340427276;0.8234015544241634;0.0;0.0;0.7629257340427276;0.8234015544241634;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,396;336;;1000rounds;Yes;Yes;2;0,76276;0,82322;0,00000;0,08136;1,58598;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1962;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1963;0.82;0.885;0.7627609606846071;0.823223719763265;0.7627609606846071;0.823223719763265;0.0;0.0;0.7627609606846071;0.823223719763265;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,309;299;;1000rounds;Yes;Yes;2;0,76888;0,82983;0,00000;0,08201;1,59871;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1964;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1965;0.82;0.885;0.7688813408710701;0.8298292520376793;0.7688813408710701;0.8298292520376793;0.0;0.0;0.7688813408710701;0.8298292520376793;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,216;325;;1000rounds;Yes;Yes;2;0,76458;0,82518;0,00000;0,08155;1,58976;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1966;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1967;0.82;0.885;0.7645754266025714;0.8251820152966777;0.7645754266025714;0.8251820152966777;0.0;0.0;0.7645754266025714;0.8251820152966777;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,307;335;;1000rounds;Yes;Yes;2;0,76293;0,82340;0,00000;0,08138;1,58633;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_n_t@1968;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1969;0.82;0.885;0.7629257340427276;0.8234015544241634;0.7629257340427276;0.8234015544241634;0.0;0.0;0.7629257340427276;0.8234015544241634;Grocery_domain_sam.xml;Grocery_domain_mary.xml
2,298;336;;1000rounds;Yes;Yes;2;0,76276;0,82322;0,00000;0,08136;1,58598;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1970;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1971;0.82;0.885;0.7627609606846071;0.823223719763265;0.7627609606846071;0.823223719763265;0.0;0.0;0.7627609606846071;0.823223719763265;Grocery_domain_sam.xml;Grocery_domain_mary.xml
1,327;806;;1000rounds;Yes;Yes;2;0,70593;0,75216;0,00000;0,00000;1,45809;Agent_K@1972;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1973;0.895;0.8400000000000001;0.7521566150728014;0.7059347001800595;0.0;0.7059347001800595;0.0;0.0;0.7521566150728014;0.7059347001800595;Grocery_domain_sam.xml;Grocery_domain_mary.xml
4,005;952;;1000rounds;Yes;Yes;2;0,68402;0,72881;0,00000;0,00000;1,41283;Yushu@1974;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1975;0.895;0.8400000000000001;0.7288068325123318;0.6840198204585014;0.0;0.6840198204585014;0.0;0.0;0.7288068325123318;0.6840198204585014;Grocery_domain_sam.xml;Grocery_domain_mary.xml
