Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
21,180;866;;1000rounds;Yes;Yes;2;0,23942;0,50248;0,14754;0,24388;0,74190;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1384;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1385;0.306988117728032;0.6442973929591479;0.23941839930822598;0.5024841079920945;0.23941839930822598;0.5024841079920945;0.0;0.0;0.23941839930822598;0.5024841079920945;Energy-A-prof1.xml;Energy-A-prof2.xml
5,975;1001;;1000rounds;No;Yes;1;0,37511;0,37511;0,65496;0,66106;0,00000;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1386;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1387;0.5;0.5;0.37510778849234283;0.37510778849234283;0.0;0.0;0.0;0.0;0.37510778849234283;0.37510778849234283;Energy-A-prof1.xml;Energy-A-prof2.xml
11,402;803;;1000rounds;Yes;Yes;2;0,47558;0,49079;0,02070;0,02231;0,96636;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1388;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1389;0.6180082065413594;0.598854381333445;0.4907874809074533;0.4755765864176488;0.4907874809074533;0.4755765864176488;0.0;0.0;0.4907874809074533;0.4755765864176488;Energy-A-prof1.xml;Energy-A-prof2.xml
10,255;840;;1000rounds;Yes;Yes;2;0,40411;0,50994;0,03655;0,08423;0,91405;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1390;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1391;0.5143086759408002;0.648987950796184;0.4041149985783641;0.5099384417998104;0.4041149985783641;0.5099384417998104;0.0;0.0;0.4041149985783641;0.5099384417998104;Energy-A-prof1.xml;Energy-A-prof2.xml
7,598;759;;1000rounds;Yes;Yes;2;0,49705;0,50948;0,00287;0,00778;1,00653;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1392;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1393;0.633488352938566;0.6180232413073863;0.509482980904441;0.49704516553289707;0.509482980904441;0.49704516553289707;0.0;0.0;0.509482980904441;0.49704516553289707;Energy-A-prof1.xml;Energy-A-prof2.xml
12,094;803;;1000rounds;Yes;Yes;2;0,44875;0,53040;0,00021;0,06251;0,97916;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1394;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1395;0.6678952545643994;0.5650789407979451;0.5304049784907938;0.448754024513937;0.5304049784907938;0.448754024513937;0.0;0.0;0.5304049784907938;0.448754024513937;Energy-A-prof1.xml;Energy-A-prof2.xml
14,389;843;;1000rounds;Yes;Yes;2;0,40392;0,50664;0,03878;0,08347;0,91056;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_n_t@1396;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1397;0.5144988888699267;0.6453484098143925;0.40391605711560874;0.5066416872747765;0.40391605711560874;0.5066416872747765;0.0;0.0;0.40391605711560874;0.5066416872747765;Energy-A-prof1.xml;Energy-A-prof2.xml
14,858;843;;1000rounds;Yes;Yes;2;0,40789;0,51429;0,03023;0,08130;0,92218;boa-negotiator.boaframework.offeringstrategy.anac2011.BRAMAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1398;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1399;0.5195591235186624;0.6550874156005291;0.4078886799367901;0.5142874585338801;0.4078886799367901;0.5142874585338801;0.0;0.0;0.4078886799367901;0.5142874585338801;Energy-A-prof1.xml;Energy-A-prof2.xml
4,402;880;;1000rounds;Yes;Yes;2;0,35439;0,51874;0,05521;0,13052;0,87313;Agent_K2@1400;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1401;0.45623362474496454;0.6678287877027956;0.3543854248159245;0.5187447303268307;0.0;0.5187447303268307;0.0;0.0;0.3543854248159245;0.5187447303268307;Energy-A-prof1.xml;Energy-A-prof2.xml
7,720;1001;;1000rounds;No;Yes;1;0,37511;0,37511;0,65496;0,66106;0,00000;Gahboninho@1402;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1403;0.5;0.5;0.37510778849234283;0.37510778849234283;0.0;0.0;0.0;0.0;0.37510778849234283;0.37510778849234283;Energy-A-prof1.xml;Energy-A-prof2.xml
